tickers;count;mean;Std. Dev.;min;25%;50%;75%;max;Skewness;Kurtosis
AAPL;4524,0000;0,0010;0,0198;-0,1970;-0,0080;0,0010;0,0110;0,1300;-0,3671;6,6769
AMZN;4524,0000;0,0011;0,0236;-0,1510;-0,0100;0,0010;0,0120;0,2390;0,6848;10,8464
ITA;4524,0000;0,0004;0,0145;-0,1590;-0,0060;0,0010;0,0070;0,1160;-0,5651;10,9244
LMT;4524,0000;0,0005;0,0147;-0,1370;-0,0060;0,0010;0,0080;0,1020;-0,5617;10,7821
NFLX;4524,0000;0,0012;0,0321;-0,4330;-0,0130;0,0000;0,0160;0,3520;-0,8668;25,0988
NKE;4524,0000;0,0005;0,0187;-0,2230;-0,0080;0,0010;0,0090;0,1440;-0,2345;12,4206
NVDA;4524,0000;0,0012;0,0311;-0,3670;-0,0140;0,0020;0,0170;0,2610;-0,3183;9,2171
WMT;4524,0000;0,0005;0,0129;-0,1210;-0,0050;0,0010;0,0070;0,1110;-0,0759;13,0818
XLE;4524,0000;0,0002;0,0194;-0,2250;-0,0080;0,0010;0,0100;0,1530;-0,6954;13,4335
XLF;4524,0000;0,0002;0,0195;-0,1820;-0,0070;0,0010;0,0080;0,1520;-0,1869;15,0417
XLI;4524,0000;0,0004;0,0137;-0,1200;-0,0060;0,0010;0,0070;0,1190;-0,3983;8,8449
XLK;4524,0000;0,0006;0,0144;-0,1490;-0,0050;0,0010;0,0070;0,1300;-0,2411;9,1995
XLV;4524,0000;0,0004;0,0109;-0,1040;-0,0040;0,0010;0,0060;0,1140;-0,3453;11,0057
XLY;4524,0000;0,0004;0,0143;-0,1350;-0,0060;0,0010;0,0070;0,0930;-0,5683;7,6906
XOM;4524,0000;0,0002;0,0171;-0,1500;-0,0080;0,0000;0,0080;0,1590;-0,0536;9,9786
